Question,Answer,Tag
Can a child/juvenile avail free legal aid?,"Yes, as clearly mentioned in section 12 of the Legal Services Authorities Act, 1987.",civil
What is a Lok Adalat?,A Court which has been organized by High Court Legal Services Committee or District Legal Services Authority or Taluk Legal Services Committee for the purpose of amicably settling a dispute between two parties by way of compromise is called lok adalat.,civil
Who should I approach for legal advice?,"Make an application for legal aid to the SCLSC. The forms for these can be obtained in person or through post or e-mail from the SCLSC at the address indicated below or from any of the nearest Taluk / District / State / High Court Legal Services Committee. You have to submit the completed application form to the 
SCLSC along with full documentation.",civil
What is a district services legal authority?,"In every District, District Legal Services Authority has been constituted to implement Legal Services Programmes in the District. The District Legal Services Authority is situated in the District Courts Complex in every District and chaired by the District Judge of the respective district.",civil
What is a Taluk Legal Services Committee?,Taluk Legal Services Committees are constituted for each of the Taluk or Mandal or for group of Taluk or Mandals to coordinate the activities of legal services in the Taluk and to organise Lok Adalats. Every Taluk Legal Services Committee is headed by a senior Civil Judge operating within the jurisdiction of the Committee who is its ex-officio Chairman.,civil
Whether an Indian citizen partner is required for a foreigner or Foreign Company to start a business in India? ,"No, if a Foreign Company wants to start a business in India in the Form of a branch office or a liaison office or as a 100% subsidiary then it does not require an Indian partner in India. Such legal entities if started with the required permissions then they can legally repatriate the funds back to their country at any point of time. Only in the cases of Joint ventures Indian partner is required. In addition to that there are restrictions with regards to the permissibility of FDI in certain sectors. If it is a 100% automatic route, then approval of the Government to start the business is not necessary. In such automatic route cases paper work to be done through the dealer and to be approved by the Reserve Bank of India.",civil
Whether the funds invested in India can be freely repatriated back from India at any point of time by the parent foreign Company? ,"If the business set up in India is made with the required approvals from Reserve Bank of India and respective Government departments, then the funds of the Indian venture of a Foreign Company can be repatriated at any point of time. But if the investment approvals require any lock in period, then those conditions will apply.",civil
Are there any International Institutional Arbitration centres in India? ,"Yes, there are many Arbitration centres handling international arbitrations also. ICA (Indian Council of Arbitration) is one of the very reputed international arbitration centres in India.",civil
What are the provisions governing International Arbitrations in India? ,Indian Arbitration and Conciliation Act 1996 is the law which governs international Arbitration in India.,civil
How effective is the Arbitration mechanism in India? ,"Indian Arbitration Act 1996 which was enacted in the lines of UNICIRAL Model law on Arbitration and hence Arbitration procedure in India is not in any way different from any of the developed countries. If an award is passed by an Arbitration tribunal, it is almost final because the Appeal provision as per S.34 of the above said Act allows only a few grounds on which the arbitration award can be challenged. Moreover many arbitration institutions in India have their own rules and regulations to make the arbitration transparent and speedy. Hence the Arbitration mechanism in India is fast and safe. In many cases the arbitration proceedings including the appeals concluded within 12 months time.",civil
"What are the special features of Branch office, Liaison/ Representative office and project office? ","Branch office cannot do manufacturing activities here in India. But the profit earned through the permitted activities of the branch office, can be fully repatriated after payment of the taxes.

Liaison/ Representative Office cannot do any commercial activities except promoting the parent company and its activities.

Project office can earn profits which can be fully repatriated but only from the project for which approval was granted.",civil
Can a Foreign Arbitration Award be executed in India? ,"If a Foreigner dies intestate, who domiciled to a foreign country, the law of the country to which he domiciled to will become the applicable law even though there are many properties in India.

But Indian authorities cannot act upon the court orders of a foreign country and hence it is necessary to get a Succession certificate on the basis of the probate of the will or partition or a court order making partition.

Normally as per Hindu law a will is a title document, if it is not objected to by any other party. Hence a person can claim all his rights on the basis of a will. But in the cases where ""Indian succession Act"" applies, succession certificate becomes necessary.",civil
Can multiple petitioners have a single advocate in Supreme Court India? ,"Yes, a single lawyer can appear for multiple parties in the Supreme Court of India or in any other court, provided those parties do not have conflict of interest in the subject matter of the case.",civil
"If there is a Bank deposit lying in the Banks of India of a Foreigner who died intestate and domiciled to a foreign country, what is the procedure for the legal heirs to claim that amount? ",The law applicable in these cases is the law of the country to which the deceased domiciled to. Hence sharing will be on the basis of that foreign law but succession certificate will be issued by the Indian Courts. The banks will honour the succession certificate issued by the Courts in India.,civil
Can a Foreigner file an application for registration of a trade mark without any local address in India? ,"Yes, to get a Trade mark registered, there is no need of having a local address. Hence a Foreigner or a Foreign Company is fully entitled to get their trade mark registered in India without having a local office in India. If there are any objections or communications with regard to the trade mark application including the delivery of the registration certificate the address of the trade mark attorney will be the effective address.",civil
How to directly approach Supreme Court? ,"An individual can directly approach the Supreme Court of India without seeking for a remedy in a lower Court or in a High Court, only when he is able to establish that one or more the fundamental rights guaranteed to that person under the Constitution of India is violated by the Government/State.",civil
Can a petition be filed in Supreme Court against election commission of India? ,"Yes, an individual can directly approach the Supreme Court of India without seeking for a remedy in a lower Court or in a High Court, only when he is able to establish that one or more the fundamental rights guaranteed to that person under the Constitution of India is violated by the Government/State.",civil
Can Central administrative Tribunal approach to Supreme Court in India? ,The orders passed by CAT (Central administrative Tribunal) can be challenged in the High Court under Article 227 of the Constitution of India. After the High Court order if any party is aggrieved he can approach the Supreme Court of India under Article 136 of the Constitution of India by filing a Special Leave Petition.,civil
Can foreign entities float their tender in India? ,"Yes, Any foreign Company can float a tender in India for the works to be executed outside India or for sub- contracting for the work to be executed in India in which they are the main contractors.",civil
In which case Supreme Court of India entertains an appeal? ,"Any High Court order can be challenged in the Supreme Court of India. In addition to that there are certain statutory appeals like order of the National Consumer Commission, Competition Appellate Tribunal etc.",civil
Can succession certificate issued by other country be used in India? ,Only the succession certificates issued by the Indian Courts are valid in India with respect to the movable or immovable properties situated in India. But it can be relied upon in the Court of India.,civil
Is it good to file a caveat in Indian Supreme Court? ,"If any party is expecting the opposite party to file an appeal against a lower court judgment then a caveat can be filed in the Supreme Court. If any party files a caveat then that caveat is valid for 90 days and after that it has to be extended. If a party files a caveat it, will get the information from the Registry if the opposite party files any Appeal.",civil
How long court takes to hear special leave petition? ,Many short matters are decided in 3 months' time if it is a long matter it might take upto three years.,civil
How to file SLP in supreme court of India? ,"You can approach some qualified Advocate on Record, who will assist you in filing the Special Leave Petition in the Supreme Court of India. Our Firm has advocates on Record, hence you can contact us also.",civil
Can tribunal hear matter when slp is admitted by supreme court? ,"No, If the issue is same Tribunal can not hear.",civil
How to make complain of provident fund in labor law? ,Provident Fund Commissioner is the authority to whom an aggrieved labour can file a complaint regarding an employment provident fund issue. Every District has a EPF commissioner.,civil
How to get probate certificate India? ,You should file the Will in the Court having Jurisdiction and ask for a probate. But now will itself is a title document under the Hindu law hence probate is not necessary unless somebody questions the will.,civil
Is awarding a tender an administrative function? ,"Yes, awarding a tender is an administrative function and not a judicial or non-judicial function. That is why the Government contracts are issued in the name of President of India.",civil
How long will high court condone a delay in filing writ petition? ,There is normally no limitation for filing a Writ Petition. But if you are challenging something hopelessly belated then Courts might not entertain the Writ Petition.,civil
Why caveat cannot be filed for writ petitions? ,Caveat in Supreme Court can be filed only on the basis of the numbers and date of the lower Court orders. Writ Petition is the first level of litigation and hence there may not be lower court orders and hence caveat cannot be filed.,civil
Who can give surety for legal succession certificate? ,Any citizen of India having some property in his name can give surety in a succession certificate.,civil
Is registration of marriage compulsory for divorce in Hindu Law? ,No need. Registration of marriage is not necessary to go for divorce proceedings in Hindu Marriage Law.,civil
"If an appeal is pending in an appellate authority, can a person file writ petition in supreme court of India? ","No, two proceedings cannot be maintained on the same issue",civil
Can an appellate court go against writ court India? ,"Yes, any order can be reversed by a Higher Court. Hence an order given by a Writ Court can be reversed by a Bench or by Supreme Court in an Appeal or a SLP.",civil
"If some of the legal heirs are living in foreign countries, do they require attending court hearings in India and is there any procedural difficulty in repatriation of funds to their respective countries? ","No, all the legal heirs need not appear in the Court in person but Court will require all the Petitioners to be present in the Court at least once to check their identities. The lead petitioner of the case must depose in the Court.
 
No, The Banks will automatically transfer the funds to the Bank accounts of the foreigner beneficiaries on receipt of the Court order and the other paper work. No need for any permission from reserve Bank of India.",civil
Can appeal be filed after SLP before Supreme Court? ,Against an order of the Supreme Court a review petition can be filed. Review application will be decided by circulation and be decided by the same Bench. After a review order a curative petition can be filed if a mistake or error is there in the review order. There is no regular appeal against an order in a SLP.,civil
"How much time Supreme Court takes to complete the litigation, from the date of filing of case? ","Normally from the date of filing Supreme Court hears the case for admission in about 15 days. If the case gets admitted the 2nd hearing takes place after about 3 months. In this three months' time the opposite parties need to be served. Many cases are disposed off in the 2nd or third hearing. If the Court feels that the case requires detailed consideration then it might grant leave in that case. Leave granted matters, as per the current situation are listed for final hearing after 3 years.",civil
When can a legal notice be sent by bank under SARFAESI Act for debt recovery?,"SARFAESI Act provides a remedy to banks in case of non-performing assets. A bank can issue notice to the consumer at two stages.
Firstly, when the loan is due the bank can issue notices for payment of the debt and express its intention to declare the financial asset as NPA in case of default to pay.
Secondly, the notice can be sent when the bank decides to convert NPAs into liquid money by selling the same to Asset Reconstruction Company declaring that the person is now a borrower of that Company and not the bank. To reply to such notices and to know what remedies you have, it is advisable to consult experienced debt recovery lawyers in India. ",civil
What if there is no reply to a legal notice?,"It is not mandatory to reply to a legal notice, yet it is advisable to reply appropriately to the notice bearing in mind the laws applicable. No reply to a notice can add advantage to the sender in a court of law.  Thus, to ensure that no reply to a notice should not become a ground proving your fault, it is always preferable to reply to such notice. You can hire best attorneys in India to send a reply to a legal notice. ",civil
Who can draft a legal notice?,"A legal notice, must adhere to the laws and regulations laid down by statutes. Laws regulating notice are of procedural nature, therefore, require more vigilance and care while drafting a notice. Ignorance of the law is no excuse and thus a legal notice should be drafted by expert civil litigation advocates carefully. ",civil
What should I do if I receive a Legal Notice?,"It is not mandatory to send a reply to a legal notice, yet it is advisable to reply appropriately to the notice bearing in mind the laws applicable. No reply to a notice can add advantage to the sender in a court of law.  You can hire best lawyers in India to send a reply to a legal notice.
The reply must be given within the stipulated time. In case if you have received a legal notice do not panic, simply follow the following procedures-
Step 1: Read the content of the notice carefully in the context of the agreement, executed between the parties. If you think that the notice is not accurate or can be contested and needs legal help, approach a qualified lawyer.
Step 2: Check the limitation period within which the reply is to be filed and adhere to the same.
Step 3: Keep a record of the time of notice within which you received the notice. A good record keeping will be an advantage even if the opposite party files a suit against you.
Step 4: Check the contractual obligations which the sender of the notice needs to fulfil and which it lacks. Breach of contractual obligations will be a good defence for the receiver. Counterclaim for damage due to breach and compliance of obligation can be done. ",civil
Elaborate the cases in which legal notice can be served on opposite party.,"There are numerous reasons for which a legal notice can be served on a person or an entity. The most common cases as to who can send a legal notice and when are:
Disputes relating to property: It includes disputes relating to mortgage, delayed delivery of possession by the builder, eviction of the tenant, the partition of family property, registration of sale-deed, execution of will etc.
Disputes relating to employment: It includes notice to the employer for wrongful termination, unpaid salary, violation of any right of the employee by the employer, sexual harassment at workplace etc.
Consumer Protection disputes: Notice to a company manufacturing or providing service of faulty products, faulty services, false advertisement, or any other grievance of the consumer.
Cheque Bounce Cases: Notice is to be sent as per the provisions of Section 138 of Negotiable Instruments Act, to the defaulter whose cheque has been dishonoured.  A legal notice has to be sent within 15 days of dishonour of cheque by registered post and must be drafted by a good cheque bounce lawyer in India and contain facts of the case including the nature of transaction, amount of loan or other legally enforceable debt for which the cheque was issued, date of deposit in bank etc.
Personal Conflicts: Notice is to be sent in case of personal conflicts such as divorce, maintenance, child custody, alimony, cruelty etc.
 ",civil
When can a legal notice be sent by landlord to tenant for eviction?,"A legal notice can be sent by a landlord to eviction on termination of the tenancy period. Tenancy is the passing of rights of enjoyment and possession for a specific time period by the landlord to the tenant. The time period is specified in the rent agreement or lease deed or is determined by local customs in that area. If the tenant refuses to leave the premises, the landlord can send a legal notice in regards to the same.
If, the tenant refuses to leave the premises despite the legal notice, the landlord can send another legal notice with the intention of initiating legal proceedings in a Court of law. To ensure that the landlord has these rights, there must be all important clauses in a rent agreement and it should be drafted carefully. ",civil
What are the contents of a legal notice?,"The contents of legal notice in India are:
The details of both the parties, like name, address, contact information.
The problem faced or loss suffered by the sender of legal notice.
The remedy sought from the other person to resolve the problem or cover the loss.
The action or inaction of the receiver upon intimation of problem.
Further remedy sought by the sender of legal notice.
The legal action that will be taken in case the remedy is not provided by the receiver.
 ",civil
What is a show cause notice?,"Show cause notice is a notice sent to any person by any authority i.e. government, employer, government employee’s, passport authority etc, in order to get a reply back with a reasonable cause as to why a particular action shouldn’t be taken against him in regard to the defaulting act done by him.
Generally, it is used in order to provide the defaulter with a chance to present himself with a reasonable cause because of which he committed the wrongful act. The best civil advocates in India can be hired to deal with show cause notice. ",civil
When can a legal notice be sent by buyer to a builder?,"In the age of RERA, a legal notice can be sent by the buyer to a builder if he refuses to give possession, abandons project site, delays possession, refuses to give possession certificate or adhere to provisions of RERA. The changes that have been envisaged under RERA are massive for putting accountability on the timelines of builders and thus buyers can send legal notice as well. A legal notice can be sent primarily for delay in possession under RERA through best RERA lawyers in India. ",civil
What is the object of sending legal notices?,"The basic object of the serving legal notice is to display the intention of initiating legal proceedings. The purpose of the notice is to give opposite party an opportunity to reconsider his legal position and to make amends or afford restitution without recourse to a court of law. The Supreme Court, in the landmark case, stated that “The object of the section is the advancement of justice and the securing of public good by avoidance of unnecessary litigation.” 
The notice is deemed to be served only when it is received or refused by the addressee and not simply by posting the notice. This stands as an evidence as to the receipt of notice.
Laws regulating notice are of procedural nature, therefore, require more vigilance and care while drafting a notice. Ignorance of the law is no excuse and thus a legal notice should be drafted by expert civil litigation lawyers. ",civil
What is a legal notice?,"A legal notice is, a formal communication to a person or an entity, informing them of the intention to undertake legal proceedings against them. It simply means intimation, information, knowledge, attention etc. It serves as information to the other party to ensure that they are aware and cannot plead ignorance at any future date in a Court of law.
It also adheres to the basic principle of natural justice and a legal right to information. It is advisable not to panic on receiving such notice and to consult top civil lawyers in India. ",civil
When can a legal notice be sent in employment cases?,"A legal notice in employment cases can be sent under following cases:
Unpaid salary to employee
Sexual harassment at workplace
Non-adherence to company’s policies and employment contract
Disclosure of confidential information of company to outsiders
Leaving job without resignation letter
False claims of sexual harassment.
 ",civil
What is the limitation period to file a reply to a legal notice?,"The limitation period to file a reply to a legal notice varies from case to case basis, ranging from 15 days in some to 30 days in case of dishonour of cheque or consumer complaint to 45 days or any number of days as stipulated in the notice or the statute under which the notice is filed. The reply to the notice should be filed with the help of good civil attorney in India. ",civil
